LONGITUDE,LATITUDE,RESPONSE:BINARY,EPSG:4326,OBSERVATION DATE
-99.1261541,26.5651323,1,4326,5/2/2008
-101.7299652,30.4519293,1,4326,5/2/2008
-102.5318813,37.6359,1,4326,5/3/2008
-102.5381012,37.6358986,1,4326,5/3/2008
-104.3998146,33.4512089,1,4326,5/3/2008
-98.2089919,27.6538724,1,4326,5/3/2008
-101.8913269,33.6189079,1,4326,5/3/2008
-99.5034742,30.0769673,1,4326,5/4/2008
-99.5034742,30.0769673,1,4326,5/4/2008
-101.7298096,35.541581,1,4326,5/4/2008
-99.2790699,32.5522755,1,4326,5/4/2008
-99.5168911,36.5504566,1,4326,5/6/2008
-101.1204147,34.3488292,1,4326,5/6/2008
-99.1474915,26.5839986,1,4326,5/6/2008
-97.3647237,26.234302,1,4326,5/7/2008
-97.506964,28.982579,1,4326,5/7/2008
-97.7707243,26.7876524,1,4326,5/7/2008
-97.7707243,26.7876524,1,4326,5/7/2008
-97.2708893,25.9629836,1,4326,5/8/2008
-97.8553963,31.2013493,1,4326,5/8/2008
-97.506964,28.982579,1,4326,5/8/2008
-97.9572719,26.1258695,1,4326,5/8/2008
-101.18991,34.40651,1,4326,5/9/2008
-101.24279,34.48601,1,4326,5/9/2008
-101.21899,34.38623,1,4326,5/9/2008
-101.17101,34.40516,1,4326,5/9/2008
-101.28447,34.52284,1,4326,5/9/2008
-97.8553963,31.2013493,1,4326,5/9/2008
-97.506964,28.982579,1,4326,5/9/2008
-101.36449,34.54994,1,4326,5/10/2008
-99.71049,31.554908,1,4326,5/10/2008
-97.506964,28.982579,1,4326,5/10/2008
-97.7707243,26.7876524,1,4326,5/10/2008
-102.0266819,32.1248168,1,4326,5/10/2008
-93.7345274,32.5647474,1,4326,5/11/2008
-93.7345274,32.5647474,1,4326,5/11/2008
-93.7345274,32.5647474,1,4326,5/11/2008
-93.7345274,32.5647474,1,4326,5/11/2008
-93.7357485,32.5667075,1,4326,5/11/2008
-97.506964,28.982579,1,4326,5/11/2008
-103.9821625,30.5403821,1,4326,5/11/2008
-97.3597466,30.7001608,1,4326,5/11/2008
-120.01701,35.29332,1,4326,5/12/2008
-120.01701,35.29332,1,4326,5/12/2008
-119.9516442,35.3020197,1,4326,5/12/2008
-119.951547,35.307651,1,4326,5/12/2008
-93.7330985,32.5628375,1,4326,5/12/2008
-101.33794,34.31891,1,4326,5/12/2008
-101.36292,34.3278,1,4326,5/12/2008
-101.27517,34.33513,1,4326,5/12/2008
-101.29393,34.37882,1,4326,5/12/2008
-97.1491814,25.9835086,1,4326,5/12/2008
-102.5024414,30.7633741,1,4326,5/12/2008
-101.21899,34.38623,1,4326,5/13/2008
